District,Location
PATIALA,Bhora-Pz
PATIALA,Bhunerheri-Pz
PATIALA,Challeta-PZ
PATIALA,Chehal
PATIALA,Chehal-Pz
PATIALA,Devigarh 1Pz
PATIALA,Devigarh IIPz
PATIALA,Devigarh-III Pz
PATIALA,Dhaneta-PZ
PATIALA,Duggal Kalan
PATIALA,Gharam-PZ
PATIALA,Gulwatti-PZ
PATIALA,Hari Majra
PATIALA,Jainagar-PZ
PATIALA,Jogewal-PZ
PATIALA,Kalyan 07pz
PATIALA,Kami Khurd-PZ
PATIALA,Karan Pur
PATIALA,Kheri Pandte-PZ
PATIALA,Kulburcha-Pz
PATIALA,Kutha Kheri-Pz
PATIALA,Lacharu Kalan
PATIALA,Lachkani-Pz
PATIALA,Mardaheri
PATIALA,Mehmood Pur-PZ
PATIALA,Mongowal-PZ
PATIALA,Nanhera-Pz
PATIALA,Nariana
PATIALA,Passiana-PZ
PATIALA,Patran-Pz
PATIALA,Rajgarh
PATIALA,Rajpura deep Pz
PATIALA,Rajpura-PzSt
PATIALA,Rakhra-Pz
PATIALA,Ramgarh
PATIALA,Rasoolpur Jaura-PZ
PATIALA,Saghraur-PZ
PATIALA,Samana-Pz
PATIALA,Samaspur-Pz
PATIALA,Sanaur
PATIALA,Sangatpura-Pz
PATIALA,Sauja-PZ
PATIALA,Surala Kalan-PZ
PATIALA,Thua
RUPNAGAR,Ahmedpur
RUPNAGAR,Amrali-PZ
RUPNAGAR,Attari-PZ
RUPNAGAR,Badali-Pz
RUPNAGAR,Bains
RUPNAGAR,Bera Chauta
RUPNAGAR,Bhalan
RUPNAGAR,Bhatto-PZ
RUPNAGAR,Braham Pur
RUPNAGAR,Chakdera
RUPNAGAR,Chatamli- Pz
RUPNAGAR,Dhair
RUPNAGAR,Hardinamoh
RUPNAGAR,Kakrali
RUPNAGAR,Klwan-PZ
RUPNAGAR,Kotla
RUPNAGAR,Morinda-PZ
RUPNAGAR,Salempur
RUPNAGAR,Singh Bhagwant Pur
RUPNAGAR,Soara
SANGRUR,Akbar Pur M
SANGRUR,Badrukhan (m)
SANGRUR,Bagarian-Pz
SANGRUR,Bakshiwala-PZ
SANGRUR,Banbhaura-PZ
SANGRUR,Benra-M
SANGRUR,Benra-PZ-S
SANGRUR,Bhawani Garh-PZ
SANGRUR,Bhogiwal- Pz
SANGRUR,Bhojowali-Pz
SANGRUR,Bhunerheri-PZ
SANGRUR,Bugra (main)
SANGRUR,Bugra 1
SANGRUR,Chatha Nanhera-PZ
SANGRUR,Chural Kalan M
SANGRUR,Dharamgarh-Pz
SANGRUR,Ghanauri Kalan-Pz
SANGRUR,Haryao-DW
SANGRUR,Kala Jhar-Pz
SANGRUR,Khanouri Kalan-PZ
SANGRUR,Kheri Naran-PZ
SANGRUR,Khurni-PZ
SANGRUR,Kila Hakima
SANGRUR,Kokahar-PZ
SANGRUR,Kuler Khurd-Pz
SANGRUR,Ladda-Pz
SANGRUR,Lehragaga-PZ
SANGRUR,Longowal-Pz
SANGRUR,Majji-PZ
SANGRUR,Malerkotla-DW
SANGRUR,Manjhi Gp
SANGRUR,Manvi-Pz
SANGRUR,Minsa-Pz
SANGRUR,Panjgaraian- Pz
SANGRUR,Rajo Majra-PZ
SANGRUR,Rampur Channa-Pz
SANGRUR,Rurgarh-PZ
SANGRUR,Rurki Kalan-Pz
SANGRUR,Sekhpur Khurd-PZ
SANGRUR,Sekhwas-PZ
SANGRUR,Sikandarpur-PZ
SANGRUR,Sunam-Pz
SAS NAGAR,Antala
SAS NAGAR,Balongi-PZ
SAS NAGAR,Barauli-PZ
SAS NAGAR,Dera Bassi 07pz
SAS NAGAR,Dheri
SAS NAGAR,Dusarna
SAS NAGAR,Gharoon
SAS NAGAR,Ghoga
SAS NAGAR,Issapur
SAS NAGAR,Issapur- DW
SAS NAGAR,Joli
SAS NAGAR,Kurrha-Pz
SAS NAGAR,Landran Pz
SAS NAGAR,Malkpur-Pz
SAS NAGAR,Manoli-PZ
SAS NAGAR,Palheri-PZ
SAS NAGAR,Raipur Kalan
SAS NAGAR,Singhpura-Pz
SAS NAGAR,Sirsini
SAS NAGAR,Siswan
SAS NAGAR,Sohana-PZ
SAS NAGAR,Sundran-Pz
SBS NAGAR,Alowal-Pz
SBS NAGAR,Aur-PZ
SBS NAGAR,Bahara-Pz
SBS NAGAR,Baharam-Pz
SBS NAGAR,Bahlora Kallan - Pz
SBS NAGAR,Bahua-Pz
SBS NAGAR,Balachaur1 (d)
SBS NAGAR,Balachore
SBS NAGAR,Balaipur-PZ
SBS NAGAR,Banga-Pz
SBS NAGAR,Begowal-Pz
SBS NAGAR,Bhadi-PZ
SBS NAGAR,Dugri Garol-PZ
SBS NAGAR,Hakimpur-Pz
SBS NAGAR,Jethu Majra-PZ
SBS NAGAR,Kariam-Pz
SBS NAGAR,Langoya-PZ
SBS NAGAR,Mahalpur-PZ
SBS NAGAR,Mahendpur-Pz
SBS NAGAR,Mauhra-Pz
SBS NAGAR,Padmaiwal-PZ
SBS NAGAR,Raipur Dhaba-Pz
SBS NAGAR,Ramgarh-Pz
SBS NAGAR,Torewal-PZ
TARN TARAN,Aima Khurd-Pz
TARN TARAN,Bahla-Pz
TARN TARAN,Bakipur-Pz
TARN TARAN,Bath-Pz
TARN TARAN,Bhagala-Pz
TARN TARAN,Bhagwanpur-Pz
TARN TARAN,Bhalaipur-Pz
TARN TARAN,Bhikhiwind
TARN TARAN,Bhikiwind- Pz
TARN TARAN,Bhura-Pz
TARN TARAN,Bhure-Pz
TARN TARAN,Bhusse-Pz
TARN TARAN,Brahmpur-Pz
TARN TARAN,Chakkare Khan-Pz
TARN TARAN,Chola Sahib
TARN TARAN,Chola Sahib-Pz
TARN TARAN,Chuselawad-Pz
TARN TARAN,Ekalgoda-Pz
TARN TARAN,Fatehabad- PZ
TARN TARAN,Gandi Wind-Pz
TARN TARAN,Goindwal
TARN TARAN,Jamerai
TARN TARAN,Jandoke-Pz
TARN TARAN,Kairon-PZ
TARN TARAN,Kalsia Kalan
TARN TARAN,Khadur Sahib-Pz
TARN TARAN,Khalra-Pz
TARN TARAN,Kirtowal-Pz
TARN TARAN,Kotbudda-Pz
TARN TARAN,Kotli Sur Singh-Pz
TARN TARAN,Mahendipur-Pz
TARN TARAN,Marhona-Pz
TARN TARAN,Mari Kamboke-Pz
TARN TARAN,Mohawa
TARN TARAN,Patti
TARN TARAN,Pindan-Pz
TARN TARAN,Rajoke-Pz
TARN TARAN,Ratoke-Pz
TARN TARAN,Sabran-Pz
TARN TARAN,Sahab Pura- Pz
TARN TARAN,Sugga-Pz
TARN TARAN,Varing-Pz
