District,Location
FARIDKOT,Dhudi-Pz
FARIDKOT,Dipsinghwala
FARIDKOT,Faridkot
FARIDKOT,Faridkot-Pz
FARIDKOT,Fatehgarh-Pz
FARIDKOT,Ghuiana-Pz
FARIDKOT,Jand Sahib-Pz
FARIDKOT,Karirwali
FARIDKOT,Killi-Pz
FARIDKOT,Koharwala- DW
FARIDKOT,Kot Kapura
FARIDKOT,Matta
FARIDKOT,Mehmuana
FARIDKOT,Mumra-Pz
FARIDKOT,Nangal-Pz
FARIDKOT,Pahluwala-Pz
FARIDKOT,Ratti Rori-Pz
FARIDKOT,Rorian Kapura-Pz
FARIDKOT,Sadiq-Pz
FARIDKOT,Sandhwan-Pz
FARIDKOT,Sher Singh Wala - Pz
FARIDKOT,Sukhwala-Pz
FARIDKOT,Tehna-Pz
FARIDKOT,Wara Dwarka-Pz
FATEHGARH SAHIB,Alipur Sodhian-Pz
FATEHGARH SAHIB,Amloh1
FATEHGARH SAHIB,Badalialasingh
FATEHGARH SAHIB,Bagga Kalan
FATEHGARH SAHIB,Balpur
FATEHGARH SAHIB,Bassi Pathana
FATEHGARH SAHIB,Bhaddal Tuha-Pz
FATEHGARH SAHIB,Bhagrana
FATEHGARH SAHIB,Bhateri
FATEHGARH SAHIB,Chandiala-Pz
FATEHGARH SAHIB,Charnarthalkalan
FATEHGARH SAHIB,Chuni Khurd-PZ
FATEHGARH SAHIB,Chunni Kalan
FATEHGARH SAHIB,Fatehgarh Sahib
FATEHGARH SAHIB,Fatehgarh Sahib-Pz
FATEHGARH SAHIB,Inayatpur-PZ-D
FATEHGARH SAHIB,Inayatpur-PZ-M
FATEHGARH SAHIB,Inayatpur-PZ-S
FATEHGARH SAHIB,Jai Singh Wala
FATEHGARH SAHIB,Jhambela
FATEHGARH SAHIB,Khamanon-pz
FATEHGARH SAHIB,Kharey_PZ
FATEHGARH SAHIB,Khera-Pz
FATEHGARH SAHIB,Ladpur
FATEHGARH SAHIB,Lohar Majra
FATEHGARH SAHIB,Mianpur-Pz
FATEHGARH SAHIB,Nalini-Pz
FATEHGARH SAHIB,Nandpur Kalaur-Pz
FATEHGARH SAHIB,Pawala
FATEHGARH SAHIB,Sado Majra
FATEHGARH SAHIB,Salempur
FATEHGARH SAHIB,Saunti- Pz-Deep
FATEHGARH SAHIB,Sirhind-Pz
FATEHGARH SAHIB,Talwara
FATEHGARH SAHIB,Timber Pur-Pz
FAZILKA,Abohar
FAZILKA,Alamgarh
FAZILKA,Asifwala-Pz
FAZILKA,Bannawala
FAZILKA,Bazirdpura
FAZILKA,Chak Khere Wala-Pz
FAZILKA,Danewal Satkosi
FAZILKA,Danger Khera-Pz
FAZILKA,Dhaban Kokrian-D
FAZILKA,Dhaban Kokrian-M
FAZILKA,Dhaban Kokrian-S
FAZILKA,Dipulana-Pz
FAZILKA,Fattu Wala-Pz
FAZILKA,Giddran Wali-Pz
FAZILKA,Hamed Saidoke-Pz
FAZILKA,Himmatpura-Pz
FAZILKA,Jalalabad-Pz
FAZILKA,Jand Wala Johian-Pz
FAZILKA,Kaler Khera-Pz
FAZILKA,Kauranwali-D
FAZILKA,Kauranwali-M
FAZILKA,Kauranwali-S
FAZILKA,Khuiansarwar
FAZILKA,Khuiansarwar- Pz
FAZILKA,Kundal1
FAZILKA,Ladhuwala
FAZILKA,Mahuana-Pz
FAZILKA,Malukpur-Pz
FAZILKA,Muradwala Dal-Pz
FAZILKA,Nihalkhera
FAZILKA,Pancha Wali-Pz
FAZILKA,Pattiwalla-Pz
FAZILKA,Ramsara-Pz
FAZILKA,Sherewala-Pz
FAZILKA,Singhpura-Pz
FAZILKA,Sitoganno
FAZILKA,Sohangarh Ratte
